STEP,STEPNAME,X,Y,Z,RADIUS
-1,reset,269.56723,15.483674,-100.796,5
0,start,228.78136,0.73165274,-97.13873,15
1,*,73.49618,0.2852879,-199.07903,15
2,*,6.3613744,0.8809612,-213.78139,15
3,*,28.408764,0.078117564,-138.50847,15
4,*,-67.84,0.13592535,-63.10024,15
5,*,-144.50786,0.13375305,29.361359,15
6,*,-173.20238,0.15389554,-107.0713,15
7,*,-53.79969,8.45114,-158.51721,15
8,*,36.7931,8.376925,-178.84505,15
9,*,138.89629,8.574395,-164.70723,15
10,*,95.77651,8.43965,-33.315144,15
11,*,221.26022,11.047058,0.2855787,15
12,*,95.95697,8.535907,-33.188847,15
13,*,137.0875,8.5456295,-163.60562,15
14,*,35.961346,8.2863,-179.54549,15
15,*,-53.21533,8.4890995,-159.1106,15
16,*,-174.21243,0.20217545,-106.92996,15
17,*,-144.01178,0.34540868,27.9122,15
18,*,-67.203926,0.087209225,-63.01288,15
19,*,27.694168,0.14586495,-138.82385,15
20,*,7.782374,0.6579057,-212.87083,15
21,*,74.007416,0.09198695,-199.02098,15
22,*,231.2134,2.0153618,-97.53888,15
23,*,151.39322,1.7284887,63.01661,15
24,end,223.4702,2.0916514,-22.129417,15
