STEP,STEPNAME,X,Y,Z,RADIUS
-1,reset,160.72867,301.97922,-50.434452,15
0,start,68.57379,301.99707,-41.20946,15
1,*,-22.570278,305.0397,-20.125742,15
2,*,-83.869545,305.05103,37.183544,15
3,*,-131.85147,293.60635,65.04336,15
4,*,-212.85818,286.5904,60.400734,15
5,*,-306.17242,277.73224,45.663887,15
6,*,-315.2973,268.4012,81.18096,15
7,*,-266.15848,268.4025,86.53129,15
8,*,-243.79942,268.36118,171.0406,15
9,*,-93.27215,268.23453,268.48615,15
10,*,-33.45009,248.70084,363.95065,15
11,*,60.997078,241.28464,388.9616,15
12,*,128.56944,267.15323,313.84662,15
13,*,163.58673,234.2013,182.09007,15
14,*,275.90762,237.77269,171.02344,15
15,*,379.51062,216.37202,217.50531,15
16,*,407.4767,212.11539,331.17078,15
17,*,503.72955,214.20912,356.55438,15
18,*,603.5259,220.21193,306.3198,15
19,*,627.7473,237.47006,181.90193,15
20,*,560.2665,251.78448,86.61963,15
21,*,555.09125,256.88074,29.81452,15
22,*,490.76718,298.22488,-79.01436,15
23,*,484.044,310.22794,-196.42703,15
24,*,411.65643,310.199,-228.6276,15
25,*,309.75333,302.76486,-206.40067,15
26,*,230.67496,302.0448,-120.46471,15
27,end,161.00821,302.1965,-73.21399,15
