STEP,STEPNAME,X,Y,Z,RADIUS
-1,reset,-198.94914,60.85358,-79.9407,15
0,start,-221.4528,60.872055,-123.71224,15
1,*,-213.41545,59.92885,-161.38452,15
2,*,-218.14519,60.15736,-187.94705,15
3,*,-202.91432,60.20099,-232.7751,15
4,*,-169.78174,58.58362,-287.1983,15
5,*,-143.32005,63.145733,-316.47153,15
6,*,-114.56501,63.62641,-330.53726,15
7,*,-57.17422,62.70414,-336.204,15
8,*,-14.894755,65.30576,-324.95514,15
9,*,61.827255,79.90811,-323.14804,15
10,*,131.22586,70.0152,-320.1885,15
11,*,160.85497,70.41388,-309.88092,15
12,*,167.51355,77.70875,-288.71167,15
13,*,166.45401,79.604385,-267.419,15
14,*,186.76306,79.628365,-253.05501,15
15,*,240.34229,78.134186,-260.09183,15
16,*,275.23953,70.58703,-254.76668,15
17,*,289.6879,68.06649,-242.64786,15
18,*,322.09607,59.665833,-242.31444,15
19,*,350.25638,59.657516,-222.42781,15
20,*,387.05276,59.42631,-184.25693,15
21,*,415.0661,55.664375,-135.62407,15
22,*,424.6087,55.434875,-94.00262,15
23,*,434.03647,55.377872,-82.029785,15
24,*,424.9552,55.37342,-66.60094,15
25,*,406.56482,55.792732,-50.729076,15
26,*,400.3856,56.335712,-30.499367,15
27,*,372.9474,57.369118,-4.4971,15
28,*,344.0987,57.575447,10.806676,15
29,*,343.00278,57.610992,29.55158,15
30,*,376.59644,57.710163,51.19729,15
31,*,381.4119,58.256092,72.17429,15
32,*,348.4104,59.07167,105.7534,15
33,*,324.36716,58.99521,125.23111,15
34,*,286.53998,70.15168,107.081955,15
35,*,257.49152,79.57476,91.80952,15
36,*,214.59975,79.60272,111.490364,15
37,*,173.95517,79.674805,147.29964,15
38,*,134.84035,79.60468,153.05313,15
39,*,84.02559,79.60282,162.3542,15
40,*,45.968746,79.60268,173.16869,15
41,*,35.901623,73.729904,204.4156,15
42,*,37.032917,61.189648,258.90802,15
43,*,5.537199,60.234344,294.54398,15
44,*,-47.921406,57.75449,288.90134,15
45,*,-77.745476,56.567863,289.04727,15
46,*,-86.00152,61.223766,257.94937,15
47,*,-91.1429,69.241356,188.40714,15
48,*,-72.98118,79.45634,159.05261,15
49,*,-71.04182,79.599236,151.14555,15
50,*,-98.842186,79.59989,116.103905,15
51,*,-134.64629,79.60218,29.968136,15
52,*,-163.3517,79.60266,-27.510792,15
53,*,-155.94092,79.6007,-99.192505,15
54,*,-102.86852,79.61587,-193.4516,15
55,*,-37.416664,79.599846,-250.64503,15
56,*,61.39726,79.58909,-282.42877,15
57,*,67.33946,81.852066,-348.46906,15
58,*,67.37374,98.750885,-454.50848,15
59,*,71.87201,100.30568,-472.85764,15
60,*,88.99694,100.29805,-474.60275,15
61,*,92.16374,105.87152,-446.4207,15
62,*,50.154762,108.57562,-418.29895,15
63,*,50.898373,118.64943,-379.94043,15
64,*,84.0414,118.72932,-367.296,15
65,*,83.95393,128.63004,-329.1014,15
66,*,50.893597,129.88638,-312.83096,15
67,*,49.37146,138.78674,-286.67856,15
68,*,66.34549,138.69724,-261.36002,15
69,*,66.64201,138.94402,-197.00822,15
70,*,67.2712,141.04503,-140.63751,15
71,*,65.523155,141.22159,-86.74173,15
72,*,66.355675,136.4418,-39.77103,15
73,end,67.98623,135.06665,-13.938762,15
