STEP,STEPNAME,X,Y,Z,RADIUS
0,start,-1.9923338,45.401108,64.9563,10
1,*,23.734335,46.25813,125.5988,10
2,*,62.861984,47.343185,174.79713,10
3,*,91.18667,48.28828,168.40944,10
4,*,122.50948,45.28743,121.2683,10
5,*,103.32843,46.013283,66.07634,10
6,*,115.77563,45.926388,1.8130031,10
7,*,93.24028,48.969414,-49.64153,10
8,*,50.682583,45.735184,-27.086678,10
9,*,-2.4009418,52.94946,-0.52635413,10
10,*,-56.24419,45.941677,14.762099,10
11,*,-102.06152,46.24883,20.91417,19
12,*,-97.99157,46.065376,50.59707,15
13,*,-53.47753,46.58642,84.36666,10
14,*,-48.960663,45.400066,114.362595,10
15,*,-88.44824,49.7307,135.58694,10
16,*,-101.130005,47.189175,110.34823,10
17,*,-74.89432,45.509502,35.090466,10
18,*,-83.48455,45.33819,-0.9147346,13
19,*,-117.414246,45.617626,-14.735361,15
20,*,-114.42445,46.131977,-50.19298,15
21,*,-80.51483,46.15093,-60.67495,13
22,*,-39.934032,45.650146,-35.567295,10
23,*,-0.3853634,53.14064,0.116989315,10
24,*,41.60193,45.292366,31.670902,10
25,*,71.063866,46.60007,40.9598,15
26,*,90.2878,45.89355,16.929827,17
27,*,77.91314,45.58361,-80.93432,15
28,*,98.02176,43.86878,-116.536,10
29,*,89.79029,47.446888,-142.47171,10
30,*,23.452456,46.063602,-134.12111,10
31,*,-17.618307,45.11259,-123.342,10
32,end,-6.066889,45.316067,-48.919735,10
