STEP,STEPNAME,X,Y,Z,RADIUS
-1,reset,515.82,20.600763,151.64868,15
0,start,465.62283,27.168245,258.44147,15
1,*,332.18427,64.03567,328.22775,15
2,*,-233.25414,25.687462,364.53253,15
3,*,-286.1507,2.4846606,246.47426,15
4,*,-32.6413,21.472391,140.75398,15
5,*,-61.544937,15.462582,45.63217,15
6,*,-426.61948,54.906967,-77.0254,15
7,*,-494.73914,103.207596,-274.52393,15
8,*,-400.78256,77.340965,-315.7844,15
9,*,-289.72244,29.511244,-258.22867,15
10,*,-140.06706,15.3437,-632.8471,15
11,*,-74.65829,42.41508,-607.2628,15
12,*,85.67849,54.044247,-375.00937,15
13,*,235.58565,34.272312,-275.45898,15
14,*,378.70425,15.7186985,29.149443,15
15,*,494.23297,-0.069532074,117.837746,15
16,*,583.8775,18.935265,246.39713,15
17,end,507.41208,16.257854,193.37491,15
