STEP,STEPNAME,X,Y,Z,RADIUS
-1,reset,239.65152,2.936962,-550.4412,15
0,start,172.08766,6.024809,-547.97046,15
1,*,29.13328,55.82658,-583.26324,15
2,*,-51.23927,79.49896,-379.94647,15
3,*,-9.615543,78.45232,-309.32825,15
4,*,-48.47253,62.8613,-106.99578,15
5,*,-100.83072,71.53403,52.68389,15
6,*,-91.94183,61.617634,112.298164,15
7,*,-147.08194,71.25413,198.99039,15
8,*,-417.56876,74.102585,162.71332,15
9,*,-488.5913,71.60766,27.125935,15
10,*,-427.56012,52.862423,-114.37565,15
11,*,-320.72217,9.928862,-265.49313,15
12,*,-46.586876,51.6716,-164.40892,15
13,*,50.926826,42.657146,-338.25128,15
14,end,166.60678,1.33142,-490.23712,15
