STEP,STEPNAME,X,Y,Z,RADIUS
-1,reset,76.07431,274.43344,899.6696,5
0,start,78.088196,269.94974,836.51227,15
1,*,75.46507,272.14438,763.72864,15
2,*,97.20203,231.99355,617.4925,15
3,*,54.777935,221.3762,572.8049,15
4,*,-45.49035,208.48682,503.9753,15
5,*,-103.49833,204.13829,492.92645,15
6,*,-94.36997,193.85666,441.1417,15
7,*,-19.816948,201.95465,434.56274,15
8,*,49.15217,206.66048,412.44193,15
9,*,123.75118,205.9235,412.80005,15
10,*,197.47736,203.1606,444.24496,15
11,*,260.17697,208.49867,438.7599,15
12,*,336.95657,211.3985,449.88605,15
13,*,371.91174,212.9753,486.62546,15
14,*,384.40485,210.69432,568.08777,15
15,*,443.46753,219.60805,581.9322,15
16,*,487.11707,214.39603,499.49374,15
17,*,483.58112,207.95938,414.8477,15
18,*,445.1794,206.36865,375.71674,15
19,*,373.69427,194.55171,329.86218,15
20,*,331.0285,180.59312,288.22983,15
21,*,287.73132,146.41197,203.29216,15
22,*,296.3944,133.0951,134.07353,15
23,*,365.79474,116.132225,15.918625,15
24,*,434.99866,52.712685,-110.37255,15
25,*,433.881,56.906464,-150.21133,15
26,*,397.4162,54.72917,-150.5647,15
27,*,328.32864,53.373528,-131.59933,15
28,*,234.64961,50.674587,-127.83114,15
29,*,199.16344,77.960884,-87.20835,15
30,*,164.55655,94.73989,-22.061392,15
31,*,69.05992,124.37454,143.61,15
32,*,3.0732741,129.93158,157.0713,15
33,*,-77.30863,133.50449,150.72882,15
34,*,-134.71777,140.44472,114.914734,15
35,*,-174.34042,139.15866,106.2065,15
36,*,-204.58812,137.82753,64.27143,15
37,*,-204.91351,123.13059,-4.359211,15
38,*,-149.53668,86.16833,-132.93745,15
39,*,-190.4552,43.980526,-266.70792,15
40,*,-162.08406,28.318705,-332.35138,15
41,*,-77.83911,8.394188,-376.5253,15
42,*,-5.9642854,0.22423483,-384.6656,15
43,*,45.81295,6.32312,-405.21368,15
44,*,83.63029,16.579597,-444.35663,15
45,*,66.74224,17.643389,-467.64938,15
46,*,31.893229,21.016842,-458.6303,15
47,*,-21.952374,22.2227,-497.54654,15
48,*,-26.934832,16.618425,-613.1776,15
49,*,-21.61028,1.922052,-758.6903,15
50,*,-66.876274,24.39821,-792.99286,15
51,*,-210.91779,1.1051869,-802.1256,15
52,*,-254.74057,2.4766445,-820.047,15
53,*,-289.36176,1.6976554,-870.4661,15
54,*,-298.53195,0.17611133,-918.40186,15
55,*,-242.4621,1.5739353,-932.6645,15
56,*,-184.69911,5.1438117,-914.3218,15
57,*,-127.17664,3.5989993,-863.85596,15
58,*,-68.675316,1.8328031,-849.4795,15
59,*,-3.0958238,5.4251623,-869.87915,15
60,*,61.605774,-0.1451399,-912.0581,15
61,*,99.700356,1.1806263,-911.01263,15
62,*,150.76224,2.1574104,-894.56995,15
63,end,279.96497,1.926977,-850.4269,15
