X,Y,Z,SPEED,ANGLE_CAM,ANGLE_BEETLE,TIME,ACCELERATION,MAP_ANGLE
162.62955,301.97177,-56.018845,224.0,0.0,0.0,932.0,0.0,0.0
162.94307,301.97165,-55.774853,224.0,0.0,0.0,965.0,0.0,0.0
163.23996,301.97153,-55.510887,0.0,0.0,0.0,998.0,0.0,0.0
163.52066,301.97147,-55.22974,21.0,0.0,0.0,1029.0,0.0,0.0
163.52066,301.97147,-55.22974,21.0,0.0,0.0,1061.0,0.0,0.0
163.7697,301.97147,-54.920208,23.0,0.0,0.0,1093.0,0.0,0.0
163.99893,301.97153,-54.595737,23.0,0.0,0.0,1125.0,0.0,0.0
163.99893,301.97153,-54.595737,23.0,0.0,0.0,1157.0,0.0,0.0
164.18907,301.97162,-54.24692,23.0,0.0,0.0,1189.0,0.0,0.0
164.35062,301.97177,-53.883972,23.0,0.0,0.0,1220.0,0.0,0.0
164.47696,301.97195,-53.507317,23.0,0.0,0.0,1252.0,0.0,0.0
164.54494,301.97226,-53.1159,23.0,0.0,0.0,1284.0,0.0,0.0
164.59538,301.9726,-52.721836,21.0,0.0,0.0,1316.0,0.0,0.0
164.59538,301.9726,-52.721836,21.0,0.0,0.0,1348.0,0.0,0.0
164.56685,301.973,-52.32559,21.0,0.0,0.0,1380.0,0.0,0.0
164.50545,301.97342,-51.933083,23.0,0.0,0.0,1413.0,0.0,0.0
164.41852,301.9739,-51.545437,23.0,0.0,0.0,1445.0,0.0,0.0
164.41852,301.9739,-51.545437,23.0,0.0,0.0,1477.0,0.0,0.0
164.31781,301.97437,-51.161137,23.0,0.0,0.0,1509.0,0.0,0.0
163.99072,301.97498,-50.93565,23.0,0.0,0.0,1541.0,0.0,0.0
163.99072,301.97498,-50.93565,0.0,0.0,0.0,1572.0,0.0,0.0
163.99072,301.97498,-50.93565,0.0,0.0,0.0,1605.0,0.0,0.0
163.99072,301.97498,-50.93565,0.0,0.0,0.0,1637.0,0.0,0.0
163.99072,301.97498,-50.93565,0.0,0.0,0.0,1669.0,0.0,0.0
163.99072,301.97498,-50.93565,0.0,0.0,0.0,1701.0,0.0,0.0
163.99072,301.97498,-50.93565,0.0,0.0,0.0,1733.0,0.0,0.0
164.09335,301.97482,-50.964767,6.0,0.0,0.0,1765.0,0.0,0.0
164.19649,301.97467,-50.99205,6.0,0.0,0.0,1797.0,0.0,0.0
164.29962,301.97452,-51.019333,6.0,0.0,0.0,1829.0,0.0,0.0
164.29962,301.97452,-51.019333,6.0,0.0,0.0,1861.0,0.0,0.0
164.40277,301.97437,-51.046616,6.0,0.0,0.0,1893.0,0.0,0.0
164.50606,301.9742,-51.073284,6.0,0.0,0.0,1925.0,0.0,0.0
164.50606,301.9742,-51.073284,5.0,0.0,0.0,1958.0,0.0,0.0
164.60944,301.97406,-51.099644,5.0,0.0,0.0,1990.0,0.0,0.0
164.71281,301.9739,-51.126007,5.0,0.0,0.0,2022.0,0.0,0.0
164.81618,301.9738,-51.152367,5.0,0.0,0.0,2054.0,0.0,0.0
164.91956,301.97363,-51.17873,5.0,0.0,0.0,2086.0,0.0,0.0
165.02293,301.9735,-51.20509,6.0,0.0,0.0,2118.0,0.0,0.0
165.02293,301.9735,-51.20509,5.0,0.0,0.0,2150.0,0.0,0.0
165.12631,301.9734,-51.231453,5.0,0.0,0.0,2183.0,0.0,0.0
165.22968,301.97324,-51.257812,5.0,0.0,0.0,2215.0,0.0,0.0
165.33305,301.97308,-51.284172,5.0,0.0,0.0,2248.0,0.0,0.0
165.43643,301.97293,-51.310535,5.0,0.0,0.0,2280.0,0.0,0.0
165.5398,301.97278,-51.336895,5.0,0.0,0.0,2311.0,0.0,0.0
165.5398,301.97278,-51.336895,5.0,0.0,0.0,2344.0,0.0,0.0
165.6431,301.97263,-51.363564,6.0,0.0,0.0,2376.0,0.0,0.0
165.74686,301.97247,-51.388386,6.0,0.0,0.0,2408.0,0.0,0.0
165.8515,301.97232,-51.409176,6.0,0.0,0.0,2440.0,0.0,0.0
165.8515,301.97232,-51.409176,6.0,0.0,0.0,2472.0,0.0,0.0
165.95665,301.9722,-51.427162,6.0,0.0,0.0,2504.0,0.0,0.0
166.062,301.97208,-51.44389,5.0,0.0,0.0,2536.0,0.0,0.0
166.1674,301.97192,-51.460308,5.0,0.0,0.0,2568.0,0.0,0.0
166.27287,301.97177,-51.476414,5.0,0.0,0.0,2600.0,0.0,0.0
166.37833,301.97165,-51.49252,5.0,0.0,0.0,2632.0,0.0,0.0
166.37833,301.97165,-51.49252,6.0,0.0,0.0,2664.0,0.0,0.0
166.37833,301.97165,-51.49252,0.0,0.0,0.0,2696.0,0.0,0.0
166.37833,301.97165,-51.49252,0.0,0.0,0.0,2729.0,0.0,0.0
166.37833,301.97165,-51.49252,0.0,0.0,0.0,2760.0,0.0,0.0
166.37833,301.97165,-51.49252,0.0,0.0,0.0,2792.0,0.0,0.0
166.37833,301.97165,-51.49252,0.0,0.0,0.0,2825.0,0.0,0.0
166.37833,301.97165,-51.49252,0.0,0.0,0.0,2857.0,0.0,0.0
166.37833,301.97165,-51.49252,0.0,0.0,0.0,2889.0,0.0,0.0
166.37833,301.97165,-51.49252,0.0,0.0,0.0,2921.0,0.0,0.0
166.37833,301.97165,-51.49252,0.0,0.0,0.0,2953.0,0.0,0.0
166.37833,301.97165,-51.49252,0.0,0.0,0.0,2986.0,0.0,0.0
166.37833,301.97165,-51.49252,0.0,0.0,0.0,3017.0,0.0,0.0
166.37833,301.97165,-51.49252,0.0,0.0,0.0,3049.0,0.0,0.0
166.37833,301.97165,-51.49252,0.0,0.0,0.0,3082.0,0.0,0.0
166.37833,301.97165,-51.49252,0.0,0.0,0.0,3114.0,0.0,0.0
166.37833,301.97165,-51.49252,0.0,0.0,0.0,3145.0,0.0,0.0
166.37833,301.97165,-51.49252,0.0,0.0,0.0,3178.0,0.0,0.0
166.37833,301.97165,-51.49252,0.0,0.0,0.0,3210.0,0.0,0.0
