X,Y,Z,SPEED,ANGLE_CAM,ANGLE_BEETLE,TIME,ACCELERATION,MAP_ANGLE
-152.65495,42.235535,-598.5403,480.0,0.0,0.0,775.0,0.0,0.0
-152.65495,42.235535,-598.5403,480.0,0.0,0.0,807.0,0.0,0.0
-152.65495,42.235535,-598.5403,0.0,0.0,0.0,838.0,0.0,0.0
-152.65495,42.235535,-598.5403,0.0,0.0,0.0,870.0,0.0,0.0
-152.65495,42.235535,-598.5403,0.0,0.0,0.0,901.0,0.0,0.0
-152.65495,42.235535,-598.5403,0.0,0.0,0.0,932.0,0.0,0.0
-152.65495,42.235535,-598.5403,0.0,0.0,0.0,964.0,0.0,0.0
-152.65495,42.235535,-598.5403,0.0,0.0,0.0,996.0,0.0,0.0
-152.65495,42.235535,-598.5403,0.0,0.0,0.0,1027.0,0.0,0.0
-152.65495,42.235535,-598.5403,0.0,0.0,0.0,1059.0,0.0,0.0
-152.65495,42.235535,-598.5403,0.0,0.0,0.0,1090.0,0.0,0.0
-152.62332,42.18677,-598.5191,3.0,0.0,0.0,1122.0,0.0,0.0
-152.62332,42.18677,-598.5191,3.0,0.0,0.0,1154.0,0.0,0.0
-152.55731,42.16663,-598.4812,4.0,0.0,0.0,1185.0,0.0,0.0
-152.4524,42.13662,-598.42926,7.0,0.0,0.0,1217.0,0.0,0.0
-152.30789,42.09976,-598.3758,9.0,0.0,0.0,1248.0,0.0,0.0
-152.12335,42.058548,-598.3314,11.0,0.0,0.0,1280.0,0.0,0.0
-152.12335,42.058548,-598.3314,11.0,0.0,0.0,1311.0,0.0,0.0
-151.90303,42.01158,-598.28467,13.0,0.0,0.0,1343.0,0.0,0.0
-151.6506,41.957882,-598.23126,15.0,0.0,0.0,1374.0,0.0,0.0
-151.37024,41.898296,-598.1721,17.0,0.0,0.0,1406.0,0.0,0.0
-151.06728,41.83617,-598.10846,18.0,0.0,0.0,1437.0,0.0,0.0
-151.06728,41.83617,-598.10846,18.0,0.0,0.0,1469.0,0.0,0.0
-150.7475,41.77444,-598.03864,20.0,0.0,0.0,1500.0,0.0,0.0
-150.41281,41.707447,-597.95593,21.0,0.0,0.0,1532.0,0.0,0.0
-150.06198,41.636093,-597.8648,22.0,0.0,0.0,1563.0,0.0,0.0
-150.06198,41.636093,-597.8648,22.0,0.0,0.0,1595.0,0.0,0.0
-149.69508,41.560402,-597.7652,23.0,0.0,0.0,1627.0,0.0,0.0
-149.31349,41.479393,-597.65247,24.0,0.0,0.0,1658.0,0.0,0.0
-148.92043,41.391407,-597.51825,25.0,0.0,0.0,1690.0,0.0,0.0
-148.50008,41.315002,-597.4283,26.0,0.0,0.0,1721.0,0.0,0.0
-148.50008,41.315002,-597.4283,26.0,0.0,0.0,1753.0,0.0,0.0
-148.05772,41.251602,-597.3872,26.0,0.0,0.0,1785.0,0.0,0.0
-147.59962,41.19809,-597.3989,27.0,0.0,0.0,1816.0,0.0,0.0
-147.13199,41.158543,-597.4656,28.0,0.0,0.0,1848.0,0.0,0.0
-147.13199,41.158543,-597.4656,28.0,0.0,0.0,1879.0,0.0,0.0
-146.66135,41.132904,-597.5874,29.0,0.0,0.0,1911.0,0.0,0.0
-146.17404,41.112335,-597.71533,30.0,0.0,0.0,1942.0,0.0,0.0
-145.68073,41.090797,-597.8394,30.0,0.0,0.0,1974.0,0.0,0.0
-145.21368,41.070312,-597.95654,30.0,0.0,0.0,2006.0,0.0,0.0
-144.7728,41.050922,-598.06696,28.0,0.0,0.0,2037.0,0.0,0.0
-144.7728,41.050922,-598.06696,27.0,0.0,0.0,2069.0,0.0,0.0
-144.3581,41.037846,-598.17053,25.0,0.0,0.0,2101.0,0.0,0.0
-143.96954,41.029613,-598.26733,24.0,0.0,0.0,2132.0,0.0,0.0
-143.60739,41.01819,-598.3571,24.0,0.0,0.0,2163.0,0.0,0.0
-143.60739,41.01819,-598.3571,22.0,0.0,0.0,2195.0,0.0,0.0
-143.2714,41.006027,-598.4401,20.0,0.0,0.0,2226.0,0.0,0.0
-142.96138,40.994698,-598.5164,19.0,0.0,0.0,2258.0,0.0,0.0
-142.67754,40.984234,-598.5859,17.0,0.0,0.0,2290.0,0.0,0.0
-142.41985,40.980686,-598.6486,17.0,0.0,0.0,2321.0,0.0,0.0
-142.41985,40.980686,-598.6486,15.0,0.0,0.0,2353.0,0.0,0.0
-142.18832,40.978596,-598.7046,14.0,0.0,0.0,2384.0,0.0,0.0
-141.98325,40.976536,-598.7535,12.0,0.0,0.0,2416.0,0.0,0.0
-141.80435,40.97457,-598.7956,12.0,0.0,0.0,2447.0,0.0,0.0
-141.65161,40.97269,-598.83093,11.0,0.0,0.0,2479.0,0.0,0.0
-141.65161,40.97269,-598.83093,9.0,0.0,0.0,2510.0,0.0,0.0
-141.52502,40.970913,-598.8595,7.0,0.0,0.0,2542.0,0.0,0.0
-141.42462,40.969223,-598.8813,6.0,0.0,0.0,2573.0,0.0,0.0
