STEP,STEPNAME,X,Y,Z,RADIUS
-1,reset,180.85484,9.666269,-360.28598,5
0,start,211.56348,11.826165,-395.1159,15
1,*,203.00685,37.92428,-336.55362,15
2,*,207.35718,40.08012,-454.44983,15
3,*,361.80484,25.171179,-320.0434,15
4,*,266.64355,56.047813,-624.462,15
5,*,380.30225,30.404287,-446.3191,15
6,*,226.86478,63.36339,-546.26697,15
7,*,318.01456,56.120193,-348.33398,15
8,*,264.87848,72.97751,-476.05942,15
9,*,221.8828,79.28999,-384.2161,15
10,*,286.7841,78.26641,-365.6116,15
11,*,316.9715,75.66863,-535.02655,15
12,*,289.75504,52.421967,-554.5244,15
13,*,173.41975,13.709309,-283.3869,15
14,end,211.06004,11.826165,-393.0314,15
