STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,212.6469268798828,12.091644287109375,-398.64794921875,15,-1
1,*,278.8254089355469,11.890229225158691,-318.05133056640625,15,-1
2,*,206.89141845703125,40.45606231689453,-455.6678466796875,15,-1
3,*,285.3932800292969,33.99433898925781,-585.0493774414062,15,-1
4,*,244.93978881835938,29.40688705444336,-496.54876708984375,15,-1
5,*,227.2655029296875,63.182857513427734,-546.063720703125,15,-1
6,*,352.3887023925781,50.978031158447266,-521.5032348632812,15,-1
7,*,275.14697265625,52.328792572021484,-345.1708984375,15,-1
8,*,169.07456970214844,20.15894889831543,-271.99249267578125,15,-1
9,end,211.7574005126953,12.091644287109375,-395.3495178222656,15,-1
-1,reset,166.0179901123047,9.859614372253418,-337.7587890625,5,-1
