STEP,STEPNAME,X,Y,Z,RADIUS
0,start,-104.83452,27.776852,-524.9238,
-1,reset,-147.57817,32.125404,-532.2944,
1,*,1.1407663,19.605104,-578.86304,
2,*,676.8628,20.384947,-336.33447,
3,*,703.8832,26.951656,260.6391,
4,*,609.3909,24.277348,369.70108,
5,*,369.93832,3.642069,270.6015,
6,*,504.96265,27.54158,35.699787,
7,*,233.28946,38.54144,-69.4837,
8,*,132.38165,17.785154,2.1649752,
9,*,-432.28,42.516922,-42.6589,
10,*,-357.3989,41.896465,-167.71924,
11,*,-401.3841,28.78837,-361.9688,
12,end,-161.61705,30.594496,-507.65585,
