STEP,STEPNAME,X,Y,Z,RADIUS
-1,reset,-851.6526,66.03924,391.64786,15
0,start,-799.44214,65.782326,355.71805,15
1,*,-699.8273,23.89323,-44.24619,15
2,*,-611.3596,40.565624,-113.68,15
3,*,-618.2125,27.346972,-303.18692,15
4,*,-393.0279,4.553217,-559.7306,15
5,*,-299.12213,27.965454,-435.87695,15
6,*,-377.17505,20.820322,-267.9002,15
7,*,33.68626,43.313297,-233.00523,15
8,*,258.95407,46.971043,-222.07793,15
9,*,326.41223,41.985096,-387.8383,15
10,*,300.7704,28.654491,-543.6236,15
11,*,357.5239,35.34515,-630.9033,15
12,*,665.65466,55.883976,-568.7774,15
13,*,851.6265,45.196346,-61.594444,15
14,*,824.18304,78.14626,324.76126,15
15,*,865.7689,41.68893,525.55316,15
16,*,496.33392,92.6729,552.63043,15
17,*,99.04247,66.294136,605.22925,15
18,*,-47.385406,-0.24002154,603.77356,15
19,*,-133.0985,0.28277186,690.7422,15
20,*,-558.9813,43.845467,622.43243,15
21,*,-702.55927,63.198418,536.9096,15
22,end,-826.1544,66.19419,445.22543,15
