STEP,STEPNAME,X,Y,Z,RADIUS
-1,reset,308.26007,35.16045,515.2572,15
0,start,233.21591,8.560544,477.77124,15
1,*,-108.59925,16.90826,340.12524,15
2,*,-220.92,28.74785,-32.014652,15
3,*,-307.20572,7.5152783,-235.68634,15
4,*,-173.05464,5.8264165,-436.0347,15
5,*,-59.84773,13.091215,-420.60834,15
6,*,439.35788,9.453459,-430.45905,15
7,*,491.85968,1.7009485,-160.43213,15
8,*,521.26874,11.159848,-70.7208,15
9,*,604.93695,8.815711,-21.48898,15
10,*,581.4659,24.684406,275.77756,15
11,*,461.93347,50.010582,373.51276,15
12,*,355.84332,2.5548356,456.06305,15
13,end,289.72845,12.304443,464.35706,15
